test_case,indexing,planning,execution
1.1.1,R tree,892.554,39.823
1.1.1,R tree,4.236,0.398
1.1.1,R tree,2.804,0.173
1.1.1,R tree,2.786,0.160
1.1.1,R tree,2.739,0.160
1.1.1,R tree,2.785,0.169
1.1.1,R tree,2.727,0.152
1.1.1,R tree,2.722,0.150
1.1.1,R tree,2.789,0.147
1.1.1,R tree,2.761,0.156
1.1.2,R tree,15.544,0.154
1.1.2,R tree,2.919,0.162
1.1.2,R tree,3.012,0.157
1.1.2,R tree,2.922,0.160
1.1.2,R tree,2.979,0.159
1.1.2,R tree,2.870,0.390
1.1.2,R tree,2.874,0.159
1.1.2,R tree,3.029,0.147
1.1.2,R tree,2.853,0.155
1.1.2,R tree,2.926,0.150
1.1.3,R tree,7.234,0.306
1.1.3,R tree,3.071,0.161
1.1.3,R tree,3.032,0.171
1.1.3,R tree,2.919,0.185
1.1.3,R tree,2.835,0.187
1.1.3,R tree,2.893,0.165
1.1.3,R tree,3.095,0.177
1.1.3,R tree,2.901,0.170
1.1.3,R tree,2.985,0.168
1.1.3,R tree,2.841,0.170
1.2.1,Quad tree,1640.991,2.752
1.2.1,Quad tree,178.729,0.330
1.2.1,Quad tree,132.046,0.402
1.2.1,Quad tree,110.265,0.396
1.2.1,Quad tree,126.064,0.348
1.2.1,Quad tree,116.538,0.404
1.2.1,Quad tree,119.719,0.326
1.2.1,Quad tree,125.882,0.319
1.2.1,Quad tree,115.400,0.320
1.2.1,Quad tree,118.944,1.245
1.2.2,Quad tree,116.408,0.431
1.2.2,Quad tree,123.317,0.366
1.2.2,Quad tree,113.582,0.400
1.2.2,Quad tree,110.090,0.338
1.2.2,Quad tree,110.537,0.433
1.2.2,Quad tree,111.641,0.333
1.2.2,Quad tree,136.536,0.527
1.2.2,Quad tree,110.913,0.428
1.2.2,Quad tree,131.397,0.460
1.2.2,Quad tree,126.871,0.429
1.2.3,Quad tree,134.832,0.544
1.2.3,Quad tree,143.346,0.562
1.2.3,Quad tree,139.851,0.382
1.2.3,Quad tree,113.634,0.385
1.2.3,Quad tree,142.720,0.366
1.2.3,Quad tree,128.699,0.428
1.2.3,Quad tree,120.047,0.541
1.2.3,Quad tree,124.605,0.380
1.2.3,Quad tree,113.518,0.336
1.2.3,Quad tree,109.632,0.341
1.3.1,No index,112.025,0.318
1.3.1,No index,116.910,0.382
1.3.1,No index,111.527,0.402
1.3.1,No index,108.899,0.383
1.3.1,No index,110.665,0.338
1.3.1,No index,111.500,0.324
1.3.1,No index,139.995,0.356
1.3.1,No index,170.491,0.339
1.3.1,No index,136.642,0.406
1.3.1,No index,110.667,0.328
1.3.2,No index,111.363,0.333
1.3.2,No index,239.526,0.395
1.3.2,No index,129.531,0.339
1.3.2,No index,112.047,0.416
1.3.2,No index,189.377,0.414
1.3.2,No index,110.375,0.331
1.3.2,No index,112.824,0.373
1.3.2,No index,109.529,0.419
1.3.2,No index,112.894,0.414
1.3.2,No index,110.656,0.333
1.3.3,No index,124.130,0.400
1.3.3,No index,110.777,0.336
1.3.3,No index,110.969,0.383
1.3.3,No index,125.913,0.414
1.3.3,No index,117.983,0.397
1.3.3,No index,114.936,0.346
1.3.3,No index,125.737,0.330
1.3.3,No index,115.996,0.422
1.3.3,No index,112.549,0.350
1.3.3,No index,119.833,0.343
2.1.1,R tree,125.013,1.110
2.1.1,R tree,3.962,0.120
2.1.1,R tree,4.028,0.073
2.1.1,R tree,4.097,1.310
2.1.1,R tree,4.002,0.079
2.1.1,R tree,4.432,0.692
2.1.1,R tree,4.157,0.073
2.1.1,R tree,4.375,0.075
2.1.1,R tree,4.125,1.191
2.1.1,R tree,4.005,0.079
2.1.2,R tree,98.630,1.424
2.1.2,R tree,4.512,0.098
2.1.2,R tree,4.411,0.061
2.1.2,R tree,4.358,1.064
2.1.2,R tree,4.623,0.054
2.1.2,R tree,4.659,0.079
2.1.2,R tree,4.572,0.063
2.1.2,R tree,4.815,1.286
2.1.2,R tree,4.405,0.082
2.1.2,R tree,4.596,1.418
2.1.3,R tree,129.272,0.066
2.1.3,R tree,5.562,0.112
2.1.3,R tree,5.221,0.067
2.1.3,R tree,5.105,1.232
2.1.3,R tree,5.106,0.063
2.1.3,R tree,5.346,0.065
2.1.3,R tree,5.292,0.069
2.1.3,R tree,5.516,1.209
2.1.3,R tree,5.357,0.079
2.1.3,R tree,5.358,0.081
2.2.1,Quad tree,2812.081,1.292
2.2.1,Quad tree,1539.994,0.110
2.2.1,Quad tree,1531.153,0.113
2.2.1,Quad tree,1512.752,0.110
2.2.1,Quad tree,1512.335,0.111
2.2.1,Quad tree,1554.299,0.116
2.2.1,Quad tree,1502.308,0.115
2.2.1,Quad tree,1502.032,1.561
2.2.1,Quad tree,1492.872,0.189
2.2.1,Quad tree,1502.285,0.176
2.2.2,Quad tree,1590.901,0.178
2.2.2,Quad tree,1504.998,0.112
2.2.2,Quad tree,1503.980,0.114
2.2.2,Quad tree,1484.215,1.551
2.2.2,Quad tree,1523.353,0.201
2.2.2,Quad tree,1504.446,0.112
2.2.2,Quad tree,1511.521,0.111
2.2.2,Quad tree,1503.160,0.175
2.2.2,Quad tree,1502.957,0.177
2.2.2,Quad tree,1515.044,0.162
2.2.3,Quad tree,1694.583,1.492
2.2.3,Quad tree,1484.954,0.114
2.2.3,Quad tree,1489.028,0.101
2.2.3,Quad tree,1485.049,0.113
2.2.3,Quad tree,1554.074,0.165
2.2.3,Quad tree,1507.105,0.115
2.2.3,Quad tree,1513.908,0.188
2.2.3,Quad tree,1496.313,0.111
2.2.3,Quad tree,1511.214,0.249
2.2.3,Quad tree,1514.659,1.457
2.3.1,No index,9709.817,1.377
2.3.1,No index,9591.548,0.126
2.3.1,No index,9678.981,1.244
2.3.1,No index,9431.085,0.103
2.3.1,No index,9204.119,0.753
2.3.1,No index,9220.263,0.092
2.3.1,No index,9153.593,0.137
2.3.1,No index,9117.576,0.102
2.3.1,No index,9129.513,0.147
2.3.1,No index,11338.293,0.132
2.3.2,No index,213966.614,0.244
2.3.2,No index,9078.131,0.117
2.3.2,No index,9261.831,0.094
2.3.2,No index,9036.245,0.090
2.3.2,No index,34187.838,0.092
2.3.2,No index,9877.618,0.135
2.3.2,No index,8945.445,0.197
2.3.2,No index,9129.254,0.095
2.3.2,No index,8843.918,0.094
2.3.2,No index,20371.824,0.256
2.3.3,No index,9341.669,0.108
2.3.3,No index,8795.954,0.142
2.3.3,No index,8813.078,0.140
2.3.3,No index,8725.864,0.194
2.3.3,No index,8720.074,0.147
2.3.3,No index,70658.153,0.270
2.3.3,No index,32780.240,0.097
2.3.3,No index,8790.617,0.101
2.3.3,No index,8840.520,0.167
2.3.3,No index,8734.496,0.094
3.1.1,R tree,96373.944,2.173
3.1.1,R tree,42932.931,0.098
3.1.1,R tree,640153.120,0.114
3.1.1,R tree,37156.468,0.079
3.1.1,R tree,31935.330,0.102
3.1.1,R tree,732733.830,0.099
3.1.1,R tree,119132.960,0.080
3.1.1,R tree,31923.117,0.080
3.1.1,R tree,97992.747,0.100
3.1.1,R tree,103457.920,0.117
3.1.2,R tree,31841.604,0.074
3.1.2,R tree,2170700.736,0.068
3.1.2,R tree,1063558.381,0.076
3.1.2,R tree,544899.106,0.104
3.1.2,R tree,211675.895,0.073
3.1.2,R tree,91438.411,0.079
3.1.2,R tree,141931.785,0.077
3.1.2,R tree,31691.349,0.102
3.1.2,R tree,424137.096,0.063
3.1.2,R tree,108820.796,0.121
3.1.3,R tree,31682.151,0.048
3.1.3,R tree,273679.370,0.074
3.1.3,R tree,205047.460,0.067
3.1.3,R tree,32571.171,0.053
3.1.3,R tree,116034.987,0.076
3.1.3,R tree,728386.550,0.076
3.1.3,R tree,93220.446,0.111
3.1.3,R tree,111234.555,0.085
3.1.3,R tree,31883.675,0.075
3.1.3,R tree,124199.471,0.073
3.2.1,Quad tree,99689.904,1.784
3.2.1,Quad tree,31792.376,0.080
3.2.1,Quad tree,94346.121,0.111
3.2.1,Quad tree,291266.242,0.081
3.2.1,Quad tree,31653.451,0.111
3.2.1,Quad tree,293848.897,0.100
3.2.1,Quad tree,263502.094,0.080
3.2.1,Quad tree,31669.965,0.056
3.2.1,Quad tree,106822.970,0.097
3.2.1,Quad tree,178612.576,0.107
3.2.2,Quad tree,103223.648,0.108
3.2.2,Quad tree,31547.222,0.083
3.2.2,Quad tree,181839.747,0.051
3.2.2,Quad tree,31471.896,0.079
3.2.2,Quad tree,99769.959,0.099
3.2.2,Quad tree,279172.003,0.103
3.2.2,Quad tree,31522.140,0.119
3.2.2,Quad tree,113790.470,0.091
3.2.2,Quad tree,96576.381,0.093
3.2.2,Quad tree,31557.258,0.078
3.2.3,Quad tree,267882.259,0.098
3.2.3,Quad tree,91010.403,0.056
3.2.3,Quad tree,31530.782,0.076
3.2.3,Quad tree,95972.956,0.105
3.2.3,Quad tree,219079.736,0.080
3.2.3,Quad tree,31478.031,0.079
3.2.3,Quad tree,588982.456,0.093
3.2.3,Quad tree,880544.573,0.057
3.2.3,Quad tree,32000.268,0.076
3.2.3,Quad tree,155144.436,0.120
3.3.1,No index,71581.143,2.236
3.3.1,No index,31829.423,0.060
3.3.1,No index,152038.451,0.046
3.3.1,No index,140992.267,0.095
3.3.1,No index,31833.343,0.092
3.3.1,No index,38043.172,0.092
3.3.1,No index,56066.253,0.045
3.3.1,No index,30669.995,0.079
3.3.1,No index,53379.382,0.069
3.3.1,No index,104143.263,0.103
3.3.2,No index,30852.747,0.075
3.3.2,No index,467938.745,0.089
3.3.2,No index,117566.229,0.098
3.3.2,No index,30790.978,0.087
3.3.2,No index,107685.525,0.088
3.3.2,No index,107959.674,0.052
3.3.2,No index,30843.884,0.049
3.3.2,No index,122494.999,0.066
3.3.2,No index,263245.874,0.065
3.3.2,No index,30850.677,0.085
3.3.3,No index,111472.684,0.065
3.3.3,No index,580881.641,0.063
3.3.3,No index,101865.228,0.043
3.3.3,No index,31214.565,0.106
3.3.3,No index,151665.486,0.049
3.3.3,No index,127284.159,0.065
3.3.3,No index,30895.282,0.102
3.3.3,No index,574971.457,0.048
3.3.3,No index,103635.224,0.066
3.3.3,No index,113360.149,0.053
